model,val_rmse,val_mae,test_rmse,test_mae
Bias Model,1.2690616013284899,0.7961540109054943,1.315244735967872,0.8255976171704826
SVD (50),1.2748074065608013,0.8034600600126441,1.3215228044516347,0.83276410399508
SVD (100),1.2811177356359902,0.8065978798385445,1.3284253502969317,0.8366199601642746
Hybrid (SVD+CB),1.299497792780969,0.7999914680560231,1.3459665257113602,0.8307946313885325
Global Mean,1.3467762177066076,0.8583430003534792,1.3862790332522013,0.8798231844170837
Content-Based,1.4478855328145288,0.8090029418475384,1.4872021088440497,0.8413770374108929
